"","SYMBOL","ENTREZID"
"355","IFNAR1","3454"
"356","IKZF2","22807"
"357","IKZF3","22806"
"358","IKZF4","64375"
"359","IKZF5","64376"
"360","IL5RA","3568"
"361","ITGA1","3672"
"362","KANK3","256949"
"363","KANK4","163782"
"364","KIDINS220","57498"
"365","KLF15","28999"
"366","KLF17","128209"
"367","KLF2","10365"
"368","KLF3","51274"
"369","KLF8","11279"
"370","KLRB1","3820"
"371","KLRD1","3824"
"372","KLRF2","100431172"
"373","KLRG1","10219"
"374","KLRG2","346689"
"375","KRBOX1","100506243"
"376","KRBOX4","55634"
"377","KRT15","3866"
"378","LCE1B","353132"
"379","LDHB","3945"
"380","LDHC","3948"
"381","LGMN","5641"
"382","LTF","4057"
"383","MAGI3","260425"
"384","MAP3K14","9020"
"385","MAZ","4150"
"386","MDH1B","130752"
"387","MDM4","4194"
"388","MED24","9862"
"389","MED28","80306"
"390","MKNK1","8569"
"391","MPP1","4354"
"392","MPP2","4355"
"393","MPP3","4356"
"394","MPP4","58538"
"397","MPP7","143098"
"398","MRPL15","29088"
"399","MRPL16","54948"
"400","MRPL17","63875"
"401","MRPL19","9801"
"402","MRPL20","55052"
"403","MRPL22","29093"
"404","MRPL27","51264"
"405","MRPL32","64983"
"406","MRPL36","64979"
"407","MRPL38","64978"
"408","MTIF2","4528"
"409","MUC4","4585"
"410","MYNN","55892"
"411","MZF1","7593"
"412","NAA11","84779"
"413","NAA20","51126"
"414","NAA30","122830"
"415","NACC2","138151"
"416","NCK2","8440"
"417","NEFM","4741"
"418","NFKBID","84807"
"419","NFYB","4801"
"420","NKPD1","284353"
"421","NKRF","55922"
"422","NME3","4832"
"423","NOTCH4","4855"
"424","NRARP","441478"
"425","NUDT9","53343"
"426","OGT","8473"
"427","OLFM4","10562"
"428","ORC2","4999"
"429","OSR1","130497"
"430","PADI4","23569"
"431","PANK3","79646"
"432","PARD6A","50855"
"433","PARD6B","84612"
"434","PARD6G","84552"
"435","PARVB","29780"
"436","PATZ1","23598"
"437","PAXBP1","94104"
"438","PDCL","5082"
"439","PDRG1","81572"
"440","PEBP4","157310"
"441","PEG3","5178"
"442","PFN2","5217"
"443","PFN4","375189"
"444","PGGT1B","5229"
"445","PGK2","5232"
"446","PIDD1","55367"
"447","PIGF","5281"
"448","PLA2G4E","123745"
"449","PNMT","5409"
"450","PNRC2","55629"
"451","POSTN","10631"
"452","POTEB","100996331"
"453","POTEB2","100287399"
"454","POTEC","388468"
"455","POTED","317754"
"456","POTEH","23784"
"457","PPP1R12C","54776"
"458","PPP1R16A","84988"
"459","PPP1R16B","26051"
"460","PPP1R27","116729"
"461","PRDM10","56980"
"462","PRDM13","59336"
"463","PRDM14","63978"
"464","PRDM15","63977"
"465","PRDM6","93166"
"466","PRDM9","56979"
"467","PRG2","5553"
"468","PRG3","10394"
"469","PRLH","51052"
"470","PROM2","150696"
"471","PROX1","5629"
"472","PRPF38B","55119"
"473","PSMA2","5683"
"474","PTBP2","58155"
"475","PTPRA","5786"
"476","RABGGTA","5875"
"477","RABGGTB","5876"
